model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive,full,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge,full,143,24.62714569332458,4.962574502546493,3.7382071830731727,9.93939694930744
linear_lasso,full,143,33.88764595321975,5.821309642444709,4.634060354610701,12.389968831521612
tsm,full,143,23.42442512512207,4.839878559112549,3.652014970779419,8.608054369688034
naive_persistence_llm_subset,llm_subset,143,22.6052188873291,4.754494667053223,3.567286491394043,8.45675840973854
seasonal_naive_llm_subset,llm_subset,143,24.247003900295326,4.924124683666665,3.7652353580181415,8.950293613332978
linear_ridge_llm_subset,llm_subset,143,24.62714569332458,4.962574502546493,3.7382071830731727,9.93939694930744
linear_lasso_llm_subset,llm_subset,143,33.88764595321975,5.821309642444709,4.634060354610701,12.389968831521612
tsm_llm_subset,llm_subset,143,23.42442512512207,4.839878559112549,3.652014970779419,8.608054369688034
